,id,year_of_birth,height,weight,running_years,time_1km_id,time_5km_id,time_10km_id,time_21km_id,time_42km_id,training_amount,km_amount,speed_training_amount,minute_per_km_speed_training_id,threshold_training_amount,minute_per_km_threshold_training_id,interval_training_amount,minute_per_km_interval_training_id,run_up_training_amount,minute_per_km_run_up_training_id,runway_amount,km_per_runway,minute_per_km_runway_id,other_trainings,other_trainings_amount,other_trainings_time,wellness,wellness_amount,detraining_amount,detraining_days,warmup_id,warmup_time
555,556,1997,190,72,13,3,14,12,12,5,3,100,6,2,9,3,10,3,5,2,5,29,5,0,0,0,1,10,3,11,1,15
556,557,1969,181,52,11,1,14,4,4,5,4,91,8,1,12,3,7,2,8,3,7,33,4,0,0,0,0,0,3,7,2,20
557,558,1974,143,66,4,9,11,8,12,10,2,13,4,11,1,8,3,8,2,8,4,23,12,1,8,90,0,0,4,10,2,5
558,559,1986,192,85,5,9,12,10,12,10,3,46,1,11,1,11,5,11,1,8,1,17,12,0,0,0,1,11,4,15,3,5
559,560,1968,170,81,9,11,13,12,12,12,3,45,3,11,6,11,3,8,3,11,0,14,12,0,0,0,0,0,5,6,3,10
560,561,1989,149,67,0,11,13,9,9,11,3,31,2,8,3,8,6,11,2,11,0,11,12,1,2,90,1,13,5,10,4,15
561,562,1987,175,69,9,11,12,12,11,13,1,43,5,8,0,13,7,11,1,11,3,14,12,0,0,0,1,8,2,5,2,20
562,563,1991,175,60,18,1,14,1,1,3,4,98,8,1,8,1,8,2,10,1,5,35,4,0,0,0,0,0,5,6,2,15
563,564,1978,156,72,10,6,6,12,6,14,3,35,5,5,3,7,5,5,6,5,2,15,7,0,0,0,0,0,2,11,3,20
564,565,1984,183,109,7,10,13,12,12,11,4,30,3,11,3,11,7,8,0,13,2,20,10,0,0,0,1,6,5,9,2,15
565,566,1970,159,81,5,11,14,6,12,14,2,34,7,7,9,6,6,5,6,7,4,21,8,0,0,0,0,0,2,13,3,5
566,567,1983,176,96,1,11,8,12,7,9,4,51,6,7,4,7,7,6,7,6,5,29,9,0,0,0,1,2,3,6,1,20
567,568,1975,150,85,2,7,14,9,10,10,4,30,2,8,2,8,7,11,2,8,0,17,10,0,0,0,1,1,4,15,4,5
568,569,1975,199,85,10,8,10,11,12,10,1,42,2,8,2,8,2,11,1,11,3,16,10,0,0,0,1,3,3,8,2,20
569,570,1978,179,97,1,9,10,11,12,14,3,41,1,8,7,8,4,8,3,11,1,10,12,0,0,0,1,4,2,5,4,5
570,571,1971,142,93,2,6,8,5,5,7,4,56,7,6,10,6,6,6,7,6,5,16,9,1,6,90,0,0,3,9,2,20
571,572,1996,179,68,8,10,11,8,10,11,3,44,2,11,2,8,2,11,5,11,2,10,12,1,5,30,0,0,1,8,4,15
572,573,1990,144,78,0,9,14,10,9,13,1,43,5,11,7,8,6,8,4,11,4,10,12,0,0,0,0,0,3,12,4,10
573,574,1978,180,55,5,11,2,3,3,5,7,76,6,2,11,3,7,1,5,1,4,22,6,1,4,45,0,0,3,9,1,20
574,575,1972,194,96,10,11,12,8,10,11,3,22,4,8,6,11,7,11,2,8,1,12,12,0,0,0,1,9,3,13,3,20
575,576,1972,164,69,8,11,7,7,8,8,4,33,4,6,6,6,8,6,5,5,2,25,9,0,0,0,1,12,4,12,2,15
576,577,1968,171,68,10,11,14,12,1,4,5,75,9,2,6,3,12,3,5,1,6,35,5,0,0,0,0,0,4,10,2,5
577,578,1998,145,90,19,6,6,5,8,7,3,30,5,5,10,6,9,6,6,7,5,29,7,1,9,75,0,0,5,7,3,15
578,579,1974,175,61,1,9,11,8,9,14,2,17,5,8,0,13,4,11,1,11,0,15,10,0,0,0,1,14,1,9,2,5
579,580,1981,172,67,10,9,13,10,9,14,1,30,3,11,5,8,4,8,0,13,2,25,10,0,0,0,0,0,5,7,4,20
580,581,1975,162,65,3,1,2,2,12,3,7,66,5,2,10,3,9,1,6,2,7,32,4,1,3,60,0,0,4,12,2,5
581,582,1995,191,95,20,11,9,12,5,14,5,52,3,5,7,5,6,7,4,7,2,20,9,0,0,0,0,0,5,15,3,10
582,583,1970,199,105,4,7,13,10,10,14,4,15,4,8,6,8,5,11,0,13,0,19,12,0,0,0,0,0,4,14,4,15
583,584,1990,162,60,13,4,6,12,12,7,5,64,3,7,6,5,10,7,3,6,4,28,8,1,4,75,0,0,4,12,1,15
584,585,1974,195,50,11,3,3,1,2,3,7,57,9,3,9,3,11,1,8,3,6,29,5,0,0,0,1,4,4,5,1,15
585,586,1970,165,57,18,2,4,3,12,1,3,100,9,1,11,1,10,3,9,3,6,37,5,0,0,0,1,15,2,15,2,10
586,587,1969,195,105,0,9,13,11,11,12,4,27,5,11,6,11,2,11,1,11,0,11,10,1,3,75,1,10,5,10,2,5
587,588,1994,149,70,9,10,12,8,10,13,4,45,0,13,3,8,2,11,5,8,3,11,10,1,8,30,0,0,5,7,4,10
588,589,1977,161,88,6,8,10,10,10,13,2,46,2,11,7,11,7,11,1,11,0,15,10,1,8,60,1,11,1,7,3,15
589,590,1970,166,59,16,5,8,12,12,7,5,44,4,5,8,5,6,7,5,5,4,16,9,1,1,30,1,5,2,7,1,5
590,591,1988,172,97,1,8,12,8,9,12,1,46,3,8,0,13,4,11,5,11,3,14,10,1,3,90,1,2,2,14,3,15
591,592,1995,195,76,8,3,2,12,3,1,4,51,6,2,8,2,10,1,6,3,7,35,5,0,0,0,1,2,3,15,2,20
592,593,1994,156,52,13,2,1,4,3,4,4,62,8,2,10,1,9,1,8,2,5,34,4,1,2,30,0,0,4,7,1,20
593,594,1968,151,53,13,11,9,5,12,8,5,64,6,5,6,7,4,5,7,6,3,27,7,1,3,45,1,10,4,10,2,15
594,595,1985,142,85,4,7,12,10,9,14,3,25,2,11,3,11,2,8,5,11,1,21,10,1,9,45,1,4,1,9,4,5
595,596,2002,183,60,11,6,7,6,6,6,5,56,4,7,10,7,8,5,5,5,2,17,8,0,0,0,1,5,5,6,2,5
596,597,1969,186,84,20,6,14,6,8,6,3,48,6,6,5,7,5,6,7,6,5,23,7,0,0,0,0,0,3,7,1,20
597,598,1970,199,76,9,5,8,7,8,9,2,53,6,5,4,7,6,6,3,5,3,22,8,0,0,0,1,8,2,12,2,5
598,599,1986,154,67,4,9,14,10,10,14,2,18,0,13,4,8,5,11,4,11,0,20,12,1,5,75,0,0,5,14,4,15
599,600,1975,175,89,4,8,13,11,12,10,2,14,3,11,0,13,3,11,1,11,4,11,12,1,3,30,1,1,4,15,3,20
600,601,1975,153,65,1,8,11,9,11,13,4,31,1,8,6,11,2,11,5,11,2,17,10,1,2,60,1,4,1,8,3,20
601,602,1982,150,67,5,11,13,8,10,12,3,15,1,11,1,8,2,11,3,8,2,24,10,0,0,0,0,0,2,8,3,20
602,603,1971,166,91,6,10,10,10,10,12,1,37,3,11,7,11,2,11,2,11,1,16,12,0,0,0,0,0,4,6,3,15
603,604,2001,185,94,2,6,14,5,5,8,4,49,7,7,7,6,4,7,7,6,5,23,7,1,2,90,1,1,4,12,1,15
604,605,1987,189,97,9,8,10,12,12,12,2,34,1,8,1,11,6,11,1,8,1,14,12,1,7,90,0,0,5,6,3,5
605,606,1973,193,80,3,9,11,11,12,13,1,24,3,11,0,13,5,8,2,8,3,19,12,1,2,90,1,14,4,14,4,15
606,607,1974,161,53,11,4,9,6,7,8,4,61,4,5,9,6,7,6,7,7,2,22,8,1,3,30,1,6,2,11,3,5
607,608,1981,162,64,9,2,4,3,12,2,5,91,9,3,6,3,9,3,9,1,5,33,5,1,9,60,1,3,1,8,2,5
608,609,1971,147,71,2,9,14,8,12,11,3,33,5,11,4,11,2,11,4,8,3,25,12,1,4,45,1,5,1,8,2,10
609,610,1994,171,86,1,7,10,12,10,13,2,39,0,13,6,11,6,11,3,8,4,21,12,1,5,60,0,0,4,6,2,10
610,611,1984,194,59,16,1,4,12,1,3,3,68,10,2,10,1,9,1,9,3,7,29,4,1,5,75,0,0,2,13,1,5
611,612,1991,177,77,6,1,1,12,3,4,6,80,6,3,10,1,10,1,8,3,5,26,4,0,0,0,1,2,3,9,1,10
612,613,1999,174,60,5,11,1,2,1,4,5,59,10,2,11,1,7,3,7,3,6,32,6,0,0,0,1,10,1,12,1,20
613,614,2001,181,84,11,11,9,7,8,9,2,54,6,5,6,7,9,5,4,6,5,29,9,0,0,0,0,0,4,11,2,10
614,615,2002,155,65,7,7,10,12,11,11,2,39,4,8,4,8,4,11,4,11,1,18,12,1,10,90,0,0,5,14,4,5
615,616,1974,173,78,13,3,2,2,2,4,5,78,10,1,7,1,8,3,9,2,7,20,5,0,0,0,1,11,3,14,1,20
616,617,1975,142,72,6,7,14,10,12,10,2,40,5,8,5,11,2,11,4,8,3,16,10,1,3,30,0,0,3,12,4,10
617,618,1973,140,54,7,3,1,4,4,1,5,93,6,3,11,1,9,1,10,2,5,26,5,0,0,0,0,0,5,15,2,20
618,619,1968,155,79,12,11,14,2,4,5,4,71,6,2,12,3,10,3,6,1,7,25,6,1,2,45,1,9,3,10,2,20
619,620,1984,174,76,17,1,3,4,12,5,6,64,5,3,9,2,12,3,9,1,4,29,5,1,8,90,0,0,4,15,2,10
620,621,1976,193,52,20,11,2,12,1,1,5,50,6,1,6,1,11,2,8,3,7,30,5,1,9,60,1,10,2,6,1,10
621,622,1983,149,84,13,4,6,12,8,14,5,70,3,6,10,6,5,5,7,5,3,17,7,0,0,0,1,2,3,6,2,5
622,623,1984,195,84,1,11,7,6,5,6,2,53,5,5,9,7,10,6,4,5,3,27,9,0,0,0,1,15,5,7,1,10
623,624,2000,190,51,10,1,4,2,4,5,7,63,5,1,5,2,8,2,6,3,6,27,4,0,0,0,0,0,4,15,2,5
624,625,1972,143,76,3,6,8,7,6,6,4,68,7,5,3,6,6,5,5,6,2,16,9,0,0,0,0,0,2,8,1,20
625,626,1969,149,69,8,2,4,4,12,3,3,57,10,3,6,3,11,1,10,1,7,22,4,1,3,45,0,0,4,6,1,15
626,627,1996,155,97,2,10,10,8,12,11,4,35,4,11,5,8,2,8,0,13,0,11,12,1,8,60,1,13,4,9,3,15
627,628,1972,183,82,9,4,8,12,12,9,5,54,3,6,4,5,9,7,4,6,2,29,9,1,5,30,1,11,1,6,1,5
628,629,1974,186,80,10,8,11,12,11,12,1,37,4,8,5,11,4,11,1,11,2,11,10,0,0,0,0,0,1,6,4,20
629,630,1973,182,58,14,11,9,12,7,7,5,55,4,5,10,7,6,5,7,7,5,25,9,1,2,60,1,4,4,14,2,15
630,631,1981,177,77,12,1,14,12,3,1,7,83,8,1,7,1,10,3,10,1,6,24,5,1,3,90,1,15,1,10,1,10
631,632,1987,183,64,17,11,1,1,2,5,6,74,10,1,12,3,6,1,10,1,6,37,4,1,8,30,0,0,5,12,2,20
632,633,1995,192,57,11,11,4,12,2,1,4,48,8,2,5,1,7,3,8,1,4,30,4,0,0,0,1,7,1,15,1,15
633,634,1997,199,64,10,5,6,12,7,7,5,44,7,5,7,5,6,5,3,6,2,26,9,1,10,60,0,0,4,12,2,10
634,635,1971,172,73,5,4,9,6,6,8,4,44,7,7,6,5,4,5,5,5,2,16,9,0,0,0,1,1,4,11,1,20
635,636,1990,144,70,13,11,3,2,4,14,3,90,9,2,6,3,6,1,6,3,6,23,6,0,0,0,0,0,2,15,2,15
636,637,2002,189,75,18,2,3,4,3,1,5,68,8,3,8,3,12,1,10,1,5,20,4,1,7,75,0,0,4,12,1,20
637,638,1976,189,99,20,11,8,12,5,9,5,65,4,7,3,6,8,7,5,6,2,24,9,0,0,0,0,0,2,11,1,5
638,639,2002,143,61,6,2,3,3,4,5,5,67,8,1,11,3,9,1,5,1,7,23,6,1,9,45,0,0,1,10,2,15
639,640,1983,198,73,14,1,2,12,3,3,6,66,8,3,9,3,6,1,8,3,4,31,6,1,2,90,1,5,2,6,1,10
640,641,1995,161,51,14,5,8,7,12,14,2,37,7,6,3,5,10,6,5,5,2,22,9,1,5,90,1,7,4,8,3,20
641,642,1990,163,63,1,10,14,10,10,10,4,41,3,8,4,11,6,11,4,8,3,19,12,0,0,0,1,7,5,12,4,20
642,643,1997,163,81,11,11,9,12,8,8,5,63,3,5,10,6,10,7,3,7,4,17,8,1,9,45,0,0,2,5,1,10
643,644,1998,165,108,0,11,14,10,10,14,2,19,3,8,6,8,7,11,2,8,2,23,10,0,0,0,1,2,2,9,3,20
644,645,1972,186,79,18,2,14,3,2,4,6,79,10,3,12,3,7,1,8,1,7,32,4,0,0,0,1,12,2,7,2,20
645,646,1986,164,63,0,10,10,10,9,10,4,28,0,13,6,8,7,11,4,8,0,10,10,0,0,0,0,0,3,14,2,20
646,647,1973,156,73,12,3,4,12,12,14,5,52,8,1,5,2,12,2,10,2,6,35,6,0,0,0,1,12,5,7,2,10
647,648,1993,160,78,8,7,12,12,11,11,4,36,2,8,6,11,4,11,4,8,2,21,12,1,6,30,1,1,4,7,4,5
648,649,2001,186,60,12,1,1,3,4,1,6,87,7,3,11,3,6,2,7,1,7,27,5,0,0,0,1,7,2,9,2,5
649,650,1987,195,84,9,11,13,12,10,14,2,36,4,8,0,13,2,8,1,8,2,12,10,1,10,60,0,0,1,6,4,10
650,651,2000,143,55,3,2,14,4,3,4,3,77,6,3,6,3,12,1,9,3,5,23,5,0,0,0,1,1,1,15,2,5
651,652,1997,193,73,6,1,14,3,1,3,4,44,5,1,9,3,12,2,7,1,4,36,5,0,0,0,0,0,1,14,1,20
652,653,1983,167,67,19,1,2,12,3,3,3,82,6,3,9,2,12,3,5,3,4,21,4,0,0,0,0,0,5,8,1,20
653,654,1996,162,62,10,10,10,9,11,12,2,44,3,8,2,8,6,8,4,11,0,21,12,0,0,0,1,11,2,7,3,20
654,655,1989,156,100,1,6,9,5,6,14,2,62,4,6,4,6,9,7,5,7,5,19,7,0,0,0,0,0,2,6,1,5
655,656,2002,179,106,3,7,13,8,10,10,4,42,2,8,4,8,5,11,4,11,4,20,12,1,4,90,1,13,3,6,4,20
656,657,1998,162,53,2,4,9,5,7,14,5,60,4,6,10,7,4,7,6,7,3,15,9,0,0,0,1,7,4,13,3,15
657,658,1971,144,53,7,1,3,3,2,3,7,78,5,1,7,1,10,2,8,2,7,28,4,0,0,0,1,2,1,6,1,10
658,659,1996,188,59,0,5,9,6,5,7,4,66,3,5,9,6,5,7,3,6,4,21,8,1,1,45,0,0,2,11,1,5
659,660,1982,183,104,3,9,10,8,11,10,2,22,4,8,3,8,3,11,3,8,2,15,10,0,0,0,0,0,5,7,3,5
660,661,1993,146,95,11,6,9,5,12,7,2,36,7,5,6,6,10,7,6,7,4,20,7,0,0,0,1,4,5,7,2,5
661,662,1992,165,69,4,11,13,8,10,10,2,20,5,8,7,8,2,11,3,11,1,20,12,1,9,30,1,9,4,14,4,10
662,663,1984,198,61,0,10,13,10,10,12,3,23,1,11,7,11,5,8,1,11,1,21,10,0,0,0,0,0,4,10,2,5
663,664,1972,181,66,1,7,13,10,10,12,3,36,4,8,6,8,7,8,4,8,4,17,12,0,0,0,1,6,5,7,3,5
664,665,2000,170,79,9,11,7,6,6,14,4,42,4,6,8,5,8,6,6,6,2,21,7,1,6,75,0,0,5,8,1,5
665,666,1976,158,78,10,11,6,7,7,9,5,65,6,5,4,6,7,7,6,6,2,21,7,1,10,30,0,0,4,5,2,15
666,667,1973,177,67,19,3,4,3,4,14,7,98,10,2,11,1,8,3,8,3,7,21,6,1,4,30,0,0,5,7,1,15
667,668,1978,156,57,9,5,7,12,12,9,5,48,7,6,10,6,10,6,7,5,2,30,7,1,5,90,1,1,3,11,3,20
668,669,1977,152,69,17,4,14,7,12,7,4,51,3,7,3,7,9,6,7,5,2,23,9,0,0,0,1,2,4,14,2,10
669,670,1972,165,90,4,8,13,11,12,10,1,42,3,8,0,13,5,11,0,13,2,24,12,0,0,0,1,6,5,8,3,5
670,671,1973,191,62,6,1,14,1,12,2,6,56,10,3,5,3,9,3,8,1,7,22,5,1,5,45,1,2,3,7,1,5
671,672,1990,155,62,12,2,2,4,3,4,5,42,6,1,9,2,11,1,6,3,4,33,5,0,0,0,1,11,2,6,2,10
672,673,1977,196,66,7,7,13,9,9,14,4,13,5,8,3,8,2,11,2,11,1,18,12,0,0,0,0,0,5,9,2,5
673,674,1989,173,77,0,11,14,7,12,6,5,32,3,6,7,7,10,6,3,5,3,27,7,0,0,0,1,15,5,7,1,5
674,675,1979,181,62,4,10,11,8,11,11,1,48,3,11,0,13,7,11,1,8,4,25,10,1,6,60,0,0,5,12,4,10
675,676,1975,147,50,17,5,14,12,5,8,5,44,7,5,5,6,8,5,4,6,5,27,8,0,0,0,1,5,2,15,3,5
676,677,1998,145,80,11,1,3,4,2,2,7,44,7,1,11,3,11,3,6,3,5,31,5,1,5,60,0,0,2,15,2,5
677,678,2001,192,109,8,7,12,12,12,13,2,34,2,8,3,8,3,11,2,8,2,16,12,0,0,0,1,9,4,12,2,10
678,679,1968,149,58,14,5,9,7,7,6,5,51,5,7,4,5,6,5,4,5,5,19,8,0,0,0,1,1,4,10,2,20
679,680,1998,199,50,5,3,2,12,1,2,5,94,5,3,7,2,10,3,8,2,4,22,5,1,1,30,0,0,5,8,2,15
680,681,1996,147,71,4,7,13,9,9,12,3,11,4,11,1,8,2,8,4,11,4,12,12,1,9,75,1,13,3,5,4,20
681,682,1980,188,73,17,4,8,7,8,7,3,35,7,5,4,7,10,7,5,7,5,21,9,1,10,60,0,0,4,13,2,20
682,683,1973,143,55,9,5,6,12,7,9,2,41,3,5,6,5,7,7,4,5,5,16,9,0,0,0,0,0,4,9,2,15
683,684,1993,150,66,17,2,3,1,12,1,3,94,10,1,9,1,6,2,9,3,4,26,6,0,0,0,0,0,2,11,2,5
684,685,2001,184,81,20,4,7,6,7,9,3,45,7,6,4,7,10,5,7,7,5,15,7,0,0,0,1,2,1,9,2,5
685,686,1998,151,65,13,5,7,7,5,9,5,61,7,5,3,6,8,6,5,5,4,28,8,1,7,90,1,14,5,12,1,10
686,687,1974,145,95,8,8,10,11,12,10,3,29,2,11,0,13,2,8,3,8,2,17,10,0,0,0,0,0,3,13,3,15
687,688,1988,190,69,20,2,2,2,12,14,7,97,9,2,7,3,12,3,10,1,4,29,4,1,8,45,1,9,1,14,2,15
688,689,1979,186,87,0,8,12,8,12,12,2,37,5,8,7,11,5,8,2,11,3,24,12,1,10,30,0,0,1,10,3,5
689,690,1992,196,72,16,1,1,3,2,4,4,85,6,2,10,3,10,1,5,3,4,23,6,0,0,0,1,1,3,14,2,15
690,691,2000,149,81,6,11,7,12,7,8,4,58,5,5,9,7,10,5,7,7,5,28,8,0,0,0,1,6,5,15,2,10
691,692,1995,169,82,19,11,9,12,6,14,4,54,6,7,8,5,8,7,3,7,5,20,8,1,2,60,0,0,2,14,1,15
692,693,1970,173,62,13,11,2,4,3,2,4,68,9,2,12,3,9,2,8,1,5,29,6,1,3,75,0,0,1,6,1,15
693,694,1989,141,74,4,10,10,10,9,13,1,19,4,11,0,13,3,8,1,11,4,13,12,0,0,0,1,3,5,14,3,20
694,695,1981,199,60,6,10,14,8,12,12,1,29,0,13,7,11,2,8,2,11,2,14,10,0,0,0,0,0,1,5,4,15
695,696,1975,142,78,3,11,9,6,5,6,5,36,4,6,6,5,4,5,6,7,4,24,9,1,10,60,1,1,4,6,3,15
696,697,1986,167,66,3,11,12,12,12,10,2,13,4,8,6,8,7,8,1,11,1,12,12,1,5,90,0,0,3,8,2,15
697,698,1978,142,79,11,5,7,12,12,6,4,40,3,5,9,6,7,7,3,6,4,25,7,0,0,0,0,0,5,8,3,5
698,699,1970,185,66,10,2,2,12,2,14,4,70,8,3,12,3,6,3,7,2,5,23,6,0,0,0,0,0,3,15,2,10
699,700,1998,171,79,3,7,14,8,11,12,3,40,2,8,7,8,7,11,3,8,2,20,12,0,0,0,0,0,3,14,3,5
700,701,1974,155,67,15,11,2,3,2,14,5,49,6,3,5,2,12,1,8,1,7,39,6,0,0,0,1,14,3,5,2,10
701,702,1979,143,84,10,4,14,6,5,14,2,46,5,6,8,7,4,6,6,6,2,19,9,0,0,0,0,0,2,12,2,10
702,703,1975,161,53,20,11,14,12,1,4,6,51,5,3,9,1,7,3,10,2,7,31,4,0,0,0,0,0,3,15,1,15
703,704,1988,190,56,7,2,3,2,3,2,7,77,7,2,6,3,6,3,10,3,5,20,4,1,4,90,1,1,4,14,2,20
704,705,1971,199,58,3,5,6,7,5,8,5,59,7,6,6,6,4,5,7,7,2,15,8,0,0,0,1,7,1,10,2,20
705,706,1979,158,61,10,2,2,12,4,5,6,40,7,2,6,1,12,2,10,2,6,21,4,1,10,30,1,12,5,8,2,15
706,707,1983,147,91,10,9,14,10,12,11,2,39,2,11,3,8,3,11,0,13,4,19,12,0,0,0,0,0,5,8,3,10
707,708,1974,171,83,6,11,9,5,12,6,2,64,6,5,6,5,10,7,7,7,5,26,9,1,5,75,0,0,5,14,1,20
708,709,1989,187,79,5,8,13,12,11,13,1,30,2,11,0,13,6,8,4,11,4,20,12,1,5,75,0,0,5,10,3,15
709,710,1988,165,66,4,11,8,6,6,9,3,36,4,7,9,5,6,6,7,5,4,29,7,1,6,60,1,10,1,9,3,20
710,711,1996,140,110,1,11,13,11,12,10,1,50,1,8,7,11,6,8,5,11,0,14,12,1,6,60,1,6,5,8,2,15
711,712,1996,152,64,3,11,10,9,9,11,2,47,0,13,2,11,7,11,0,13,3,24,10,1,3,75,0,0,4,13,4,20
712,713,1994,169,85,19,6,14,5,5,6,2,44,3,7,6,5,7,5,5,7,4,19,8,0,0,0,1,10,3,8,1,10
713,714,1992,197,95,17,6,6,7,12,6,5,70,5,6,3,7,5,7,6,7,3,19,7,0,0,0,0,0,4,13,3,20
714,715,1983,194,68,2,5,6,12,7,6,3,49,7,6,5,5,4,7,6,6,4,29,7,1,5,90,1,9,1,5,2,5
715,716,1974,184,65,19,1,14,3,1,2,5,50,8,1,9,3,9,3,9,3,6,40,4,1,3,90,1,4,1,13,1,5
716,717,1976,151,57,17,11,4,1,2,14,4,44,8,1,9,3,10,3,6,3,6,21,5,1,10,60,0,0,3,11,2,15
717,718,1974,189,82,5,10,11,12,11,13,4,32,5,8,4,11,7,8,5,11,2,10,12,0,0,0,1,1,5,11,4,15
718,719,1988,176,60,16,6,6,5,7,7,5,66,7,5,7,5,7,6,4,5,5,15,7,0,0,0,1,10,1,5,2,10
719,720,1971,177,98,6,9,14,12,11,13,1,41,4,8,0,13,4,11,1,8,4,23,12,1,3,90,1,9,4,14,2,10
720,721,1974,159,62,14,3,14,2,1,2,4,97,9,3,9,1,6,2,8,1,6,39,4,0,0,0,1,6,1,9,2,15
721,722,1971,191,79,12,3,14,12,3,3,3,82,6,1,10,1,8,2,8,2,5,26,6,0,0,0,1,1,4,7,2,5
722,723,1975,145,60,11,3,4,2,1,3,6,75,9,1,6,2,10,1,7,3,7,40,5,1,1,75,0,0,2,9,1,15
723,724,1990,167,102,0,7,12,11,12,11,1,10,5,11,1,8,4,11,5,8,0,18,12,1,3,60,0,0,3,11,2,15
724,725,1991,178,89,9,11,14,11,10,14,4,36,3,8,5,8,4,11,4,8,2,15,10,0,0,0,1,6,1,6,2,10
725,726,1977,193,60,6,7,10,11,9,13,2,13,3,8,5,11,2,8,2,8,3,23,10,0,0,0,1,5,2,15,2,15
726,727,1968,165,78,6,11,14,1,2,1,6,96,9,1,8,3,9,1,7,2,6,35,6,0,0,0,1,15,5,9,2,20
727,728,1987,150,67,10,8,14,12,11,10,1,25,1,8,5,8,7,8,4,8,0,15,12,0,0,0,0,0,3,14,2,20
728,729,1979,157,88,5,7,11,10,9,13,1,19,2,8,3,11,4,11,1,8,1,13,12,0,0,0,0,0,4,9,2,20
729,730,1997,145,64,1,10,11,11,9,11,3,16,2,8,5,8,2,8,5,8,4,19,10,1,1,30,1,2,4,12,2,5
730,731,2001,165,95,20,6,14,7,5,9,5,64,6,7,6,7,4,7,6,6,4,30,7,0,0,0,0,0,4,11,1,10
731,732,1968,189,61,9,4,7,7,6,7,2,43,3,7,4,7,4,7,3,5,3,23,9,1,1,45,0,0,2,15,2,5
732,733,1973,194,74,2,5,8,7,12,6,2,70,7,7,10,5,8,7,7,7,4,25,9,0,0,0,0,0,1,11,3,5
733,734,1979,184,80,0,9,12,11,9,14,1,39,4,8,2,8,4,11,4,11,1,24,10,0,0,0,1,6,2,12,2,10
734,735,1979,200,70,8,7,14,8,10,11,1,17,2,11,6,11,6,11,0,13,4,14,10,0,0,0,1,5,4,14,2,20
735,736,1982,179,61,6,6,14,7,6,7,4,35,5,7,5,5,9,5,7,5,5,18,8,0,0,0,0,0,5,6,2,5
736,737,1985,174,57,9,6,6,7,12,8,2,55,3,6,6,7,5,5,7,7,5,16,8,0,0,0,1,8,5,6,3,5
737,738,1971,169,71,8,11,3,2,2,1,4,42,9,2,10,2,10,1,7,3,7,34,4,0,0,0,1,4,4,5,2,10
738,739,1983,182,66,1,10,14,12,10,11,2,23,3,8,2,11,7,11,4,11,1,24,12,0,0,0,1,11,1,7,4,5
739,740,1998,174,109,5,10,12,8,9,11,4,34,5,11,0,13,3,11,4,11,2,21,12,1,2,90,1,4,4,13,3,10
740,741,1989,169,75,4,11,2,1,12,1,3,97,9,2,5,2,7,1,8,3,7,29,5,1,5,60,1,11,2,15,2,5
741,742,1985,174,63,17,4,14,7,12,8,4,35,3,7,5,6,6,5,3,5,2,16,8,0,0,0,0,0,4,10,3,20
742,743,1970,150,77,7,3,4,4,12,4,5,54,5,3,7,2,12,2,10,2,4,30,4,0,0,0,0,0,5,11,2,15
743,744,1984,162,67,3,1,1,2,12,14,4,87,7,1,6,3,7,3,6,3,6,29,6,1,3,45,1,4,1,6,1,15
744,745,1982,174,97,6,9,10,9,12,14,4,47,1,8,1,8,2,8,3,8,2,14,12,1,7,45,0,0,5,14,4,10
745,746,1977,154,79,17,1,3,3,3,4,6,68,5,1,11,1,10,3,10,1,6,27,5,0,0,0,0,0,2,15,2,10
746,747,1976,189,60,10,2,3,12,4,14,5,59,8,2,7,2,6,2,7,1,4,29,6,1,2,90,0,0,5,6,2,20
747,748,1991,161,101,6,11,11,8,10,14,3,18,4,11,2,8,5,11,4,11,2,16,10,1,2,75,1,13,4,11,3,10
748,749,1981,199,61,4,4,9,12,5,6,4,33,5,6,4,5,4,6,7,7,3,23,9,1,1,30,0,0,1,9,3,5
749,750,1983,148,67,8,3,4,2,4,3,5,63,8,1,10,2,9,1,6,3,4,23,6,1,7,30,1,10,4,6,1,10
750,751,1980,151,70,20,11,1,3,12,1,7,69,5,1,7,1,10,3,10,3,6,23,4,0,0,0,1,5,4,7,2,20
751,752,1980,176,93,0,7,12,10,12,12,3,39,2,11,7,11,4,8,0,13,2,20,10,0,0,0,0,0,4,13,3,15
752,753,1985,195,89,1,5,14,6,8,9,3,47,5,6,5,6,5,7,7,5,2,30,9,0,0,0,1,2,4,6,3,20
753,754,1982,146,72,15,2,3,4,3,3,6,72,5,3,5,1,12,2,6,3,7,38,5,0,0,0,0,0,2,15,1,5
754,755,1982,176,81,19,6,9,6,5,6,2,40,3,6,5,7,5,6,3,5,4,15,8,1,6,30,1,6,5,8,3,20
755,756,1991,180,86,15,11,6,5,12,7,4,36,6,7,4,5,10,6,6,5,2,22,9,0,0,0,0,0,3,7,1,20
756,757,1998,160,75,9,10,10,12,10,14,2,30,1,8,0,13,6,8,1,11,4,10,12,1,7,30,0,0,1,7,4,10
757,758,1971,197,63,14,11,1,12,3,1,4,91,5,3,10,3,11,2,6,3,5,22,6,1,5,45,1,4,5,5,1,20
758,759,1996,141,97,4,11,9,12,12,8,4,42,3,7,9,6,10,7,6,7,4,27,7,1,6,75,0,0,2,12,3,10
759,760,1973,180,78,3,5,7,7,12,8,2,36,5,6,9,7,8,7,5,5,2,24,7,0,0,0,1,15,5,8,1,10
