"Sygnatura czasowa","Proszę podać rok urodzenia","Proszę podać swój wzrost (w centymetrach)","Proszę podać swoją wagę (w kilogramach)","Od ilu lat regularnie biegasz?","W jakim zakresie jest Twój najlepszy czas na 1km? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 5km? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 10km? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 21,0975km - Półmaraton? (HH:MM:SS)","W jakim zakresie jest Twój najlepszy czas na 42,195km - Maraton? (HH:MM:SS)","Ile treningów biegowych wykonujesz średnio w ciągu tygodnia?","Ile kilometrów pokonujesz średnio podczas treningów biegowych w ciągu tygodnia?","Ile razy w ciągu miesiąca wykonujesz trening szybkości?","W jakim zakresie tempa wykonujesz trening szybkości? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz trening progowy?","W jakim zakresie tempa wykonujesz trening progowy? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz trening interwałowy?","W jakim zakresie tempa wykonujesz trening interwałowy? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz podbiegi?","W jakim zakresie tempa wykonujesz podbiegi? (w minutach na kilometr)","Ile razy w ciągu miesiąca wykonujesz wybieganie?","Jaka jest średnia ilość kilometrów wykonywana podczas jednego wybiegania?","W jakim zakresie tempa wykonujesz wybieganie? (w minutach na kilometr)","Czy wykonujesz treningi inne niż biegowe?","Jakie typy treningów, poza biegowymi, wykonujesz?","Ile razy w ciągu miesiąca wykonujesz powyższe treningi? (sumarycznie)","Ile minut średnio trwa pojedynczy trening?","Czy wykonujesz aktywności związane z odnową biologiczną?","Jakie aktywności związane z odnową biologiczną wykonujesz?","Ile razy w ciągu miesiąca wykonujesz powyższe aktywności? (sumarycznie)","Ile razy w ciągu roku stosujesz roztrenowanie?","Jaki jest Twój średni czas trwania roztrenowania? (w dniach)","Czy stosujesz rozgrzewkę przed treningiem biegowym?","Jaki jest średni czas trwania rozgrzewki? (w minutach)"
"2022/01/12 7:57:20 PM CET","2000","155","51","18","od 00:02:30 do 00:03:00","od 00:15:01 do 00:17:00","od 00:35:01 do 00:40:00","od 01:30:01 do 01:40:00","od 02:55:01 do 03:10:00","6","72","8","od 00:02:31 do 00:03:00","9","od 00:03:01 do 00:03:30","9","od 00:02:31 do 00:03:00","6","od 00:02:00 do 00:02:30","7","35","od 00:04:31 do 00:05:00","Tak","Pilates;Rower","9","30","Tak","Rolowanie;Sauna","4","1","8","Regularnie","5"
"2022/01/12 7:57:25 PM CET","1996","145","74","3","od 00:06:31 do 00:07:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","od 02:20:01 do 02:30:00","od 05:10:01 i powyżej","2","11","4","od 00:05:31 do 00:06:00","6","od 00:05:31 do 00:06:00","2","od 00:05:31 do 00:06:00","0","Nie wykonuję takich treningów","4","16","od 00:06:31 do 00:07:00","Tak","Pływanie;Taniec/Zumba/Pole Dance;Rower","2","90","Nie","","","1","5","Nigdy","5"
"2022/01/12 7:57:30 PM CET","1985","166","96","8","od 00:06:31 do 00:07:00","od 00:33:01 do 00:35:00","od 01:05:01 do 01:10:00","od 02:30:01 do 02:40:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","30","3","od 00:05:31 do 00:06:00","7","od 00:05:31 do 00:06:00","7","od 00:05:31 do 00:06:00","1","od 00:06:01 i powyżej","2","21","od 00:06:31 do 00:07:00","Tak","Crossfit/HIIT;Taniec/Zumba/Pole Dance;Rower","4","30","Nie","","","5","13","Czasem","20"
"2022/01/12 7:57:35 PM CET","1989","185","61","10","od 00:05:31 do 00:06:00","od 00:31:01 do 00:33:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 02:40:01 i powyżej","od 04:55:01 do 05:10:00","2","17","4","od 00:05:31 do 00:06:00","2","od 00:06:01 i powyżej","6","od 00:05:31 do 00:06:00","2","od 00:05:31 do 00:06:00","4","18","od 00:06:31 do 00:07:00","Tak","Trening siłowy;Crossfit/HIIT","6","30","Nie","","","4","6","Czasem","15"
"2022/01/12 7:57:40 PM CET","1995","166","60","2","od 00:04:31 do 00:05:00","od 00:27:01 do 00:29:00","od 00:50:01 do 00:55:00","od 02:00:01 do 02:10:00","od 03:40:01 do 03:55:00","2","31","6","od 00:04:01 do 00:04:30","8","od 00:04:31 do 00:05:00","9","od 00:05:01 do 00:05:30","3","od 00:04:01 do 00:04:30","3","24","od 00:06:01 do 00:06:30","Tak","Pływanie;Taniec/Zumba/Pole Dance;Sztuki walki","8","60","Nie","","","3","12","Czasem","5"
"2022/01/12 7:57:45 PM CET","1982","170","66","20","od 00:03:31 do 00:04:00","od 00:15:01 do 00:17:00","od 00:35:01 do 00:40:00","od 01:20:01 do 01:30:00","od 02:55:01 do 03:10:00","7","42","8","od 00:02:31 do 00:03:00","9","od 00:02:00 do 00:02:30","12","od 00:02:31 do 00:03:00","10","od 00:03:01 do 00:03:30","5","26","od 00:03:31 do 00:04:00","Tak","Crossfit/HIIT","1","45","Nie","","","2","10","Zawsze","5"
"2022/01/12 7:57:50 PM CET","1995","180","103","10","od 00:06:31 do 00:07:00","od 00:37:01 i powyżej","Nigdy nie biegłam/nie biegłem takiego dystansu","od 02:20:01 do 02:30:00","Nigdy nie biegłam/nie biegłem takiego dystansu","1","25","0","Nie wykonuję takich treningów","3","od 00:06:01 i powyżej","2","od 00:06:01 i powyżej","5","od 00:05:31 do 00:06:00","4","19","od 00:07:01 i powyżej","Tak","Taniec/Zumba/Pole Dance","4","30","Nie","","","5","8","Nigdy","10"
"2022/01/12 7:57:55 PM CET","1994","197","53","18","od 00:03:31 do 00:04:00","od 00:17:01 do 00:19:00","od 00:40:01 do 00:45:00","od 01:00:00 do 01:10:00","od 02:25:01 do 02:40:00","7","58","9","od 00:03:01 do 00:03:30","7","od 00:03:01 do 00:03:30","10","od 00:03:01 do 00:03:30","7","od 00:02:00 do 00:02:30","6","31","od 00:04:31 do 00:05:00","Nie","","","","Tak","Rolowanie;Rozciąganie/Joga;Masaż","12","4","13","Regularnie","20"
"2022/01/12 7:58:00 PM CET","1977","160","79","10","od 00:03:01 do 00:03:30","od 00:15:01 do 00:17:00","od 00:30:00 do 00:35:00","od 01:00:00 do 01:10:00","Nigdy nie biegłam/nie biegłem takiego dystansu","7","89","8","od 00:03:01 do 00:03:30","7","od 00:03:01 do 00:03:30","8","od 00:03:01 do 00:03:30","5","od 00:02:00 do 00:02:30","5","34","od 00:03:31 do 00:04:00","Tak","Taniec/Zumba/Pole Dance;Sztuki walki;Trening siłowy","10","75","Tak","Rozciąganie/Joga","13","1","10","Zawsze","10"
"2022/01/12 7:58:05 PM CET","1991","180","60","18","od 00:04:01 do 00:04:30","od 00:29:01 do 00:31:00","od 00:55:01 do 01:00:00","od 01:50:01 do 02:00:00","od 03:55:01 do 04:10:00","5","58","3","od 00:04:31 do 00:05:00","10","od 00:05:01 do 00:05:30","9","od 00:04:01 do 00:04:30","7","od 00:04:31 do 00:05:00","5","21","od 00:06:01 do 00:06:30","Tak","Sztuki walki;Crossfit/HIIT;Taniec/Zumba/Pole Dance","4","45","Nie","","","3","12","Czasem","10"
"2022/01/12 7:58:10 PM CET","1996","175","59","13","od 00:05:01 do 00:05:30","od 00:29:01 do 00:31:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 02:00:01 do 02:10:00","od 04:10:01 do 04:25:00","3","69","5","od 00:04:31 do 00:05:00","5","od 00:05:01 do 00:05:30","9","od 00:04:01 do 00:04:30","3","od 00:04:31 do 00:05:00","2","28","od 00:05:31 do 00:06:00","Nie","","","","Tak","Rolowanie","9","4","14","Czasem","5"
"2022/01/12 7:58:15 PM CET","1994","168","70","3","od 00:04:31 do 00:05:00","od 00:29:01 do 00:31:00","od 00:55:01 do 01:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 03:25:01 do 03:40:00","3","45","3","od 00:04:31 do 00:05:00","7","od 00:04:01 do 00:04:30","9","od 00:04:01 do 00:04:30","3","od 00:05:01 do 00:05:30","4","25","od 00:06:01 do 00:06:30","Nie","","","","Tak","Rozciąganie/Joga;Rolowanie","2","4","12","Regularnie","20"
"2022/01/12 7:58:20 PM CET","1970","173","99","15","od 00:05:01 do 00:05:30","od 00:27:01 do 00:29:00","od 01:00:01 do 01:05:00","od 02:00:01 do 02:10:00","Nigdy nie biegłam/nie biegłem takiego dystansu","3","30","7","od 00:04:01 do 00:04:30","9","od 00:05:01 do 00:05:30","6","od 00:05:01 do 00:05:30","3","od 00:04:01 do 00:04:30","3","20","od 00:05:01 do 00:05:30","Tak","Trening siłowy","7","30","Tak","Rolowanie;Masaż;Rozciąganie/Joga","12","3","15","Zawsze","15"
"2022/01/12 7:58:25 PM CET","1978","176","61","6","od 00:06:01 do 00:06:30","od 00:31:01 do 00:33:00","od 01:10:01 do 01:15:00","od 02:40:01 i powyżej","od 04:25:01 do 04:40:00","1","31","5","od 00:06:01 i powyżej","3","od 00:05:31 do 00:06:00","4","od 00:05:31 do 00:06:00","3","od 00:05:31 do 00:06:00","1","22","od 00:07:01 i powyżej","Tak","Pilates","3","30","Nie","","","5","6","Regularnie","20"
"2022/01/12 7:58:30 PM CET","1997","196","60","0","od 00:06:01 do 00:06:30","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:15:01 do 01:20:00","od 02:20:01 do 02:30:00","od 04:25:01 do 04:40:00","1","25","2","od 00:05:31 do 00:06:00","5","od 00:05:31 do 00:06:00","7","od 00:05:31 do 00:06:00","3","od 00:06:01 i powyżej","1","22","od 00:06:31 do 00:07:00","Nie","","","","Nie","","","3","5","Czasem","5"
"2022/01/12 7:58:35 PM CET","1984","159","97","9","od 00:04:01 do 00:04:30","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:50:01 do 00:55:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 04:10:01 do 04:25:00","5","47","7","od 00:04:31 do 00:05:00","5","od 00:04:31 do 00:05:00","7","od 00:04:01 do 00:04:30","5","od 00:04:31 do 00:05:00","4","18","od 00:05:01 do 00:05:30","Nie","","","","Tak","Rozciąganie/Joga;Sauna;Masaż","11","4","6","Zawsze","20"
"2022/01/12 7:58:40 PM CET","1968","141","109","2","od 00:07:01 i powyżej","od 00:35:01 do 00:37:00","od 01:05:01 do 01:10:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 04:25:01 do 04:40:00","1","13","5","od 00:05:31 do 00:06:00","0","Nie wykonuję takich treningów","6","od 00:05:31 do 00:06:00","1","od 00:05:31 do 00:06:00","4","19","od 00:06:31 do 00:07:00","Tak","Taniec/Zumba/Pole Dance;Pilates","7","45","Tak","Rozciąganie/Joga","12","1","13","Regularnie","5"
"2022/01/12 7:58:45 PM CET","2002","154","73","16","od 00:05:01 do 00:05:30","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:00:01 do 01:05:00","od 02:10:01 do 02:20:00","od 03:25:01 do 03:40:00","4","48","6","od 00:04:01 do 00:04:30","6","od 00:04:31 do 00:05:00","8","od 00:04:01 do 00:04:30","5","od 00:05:01 do 00:05:30","2","19","od 00:06:01 do 00:06:30","Tak","Pływanie;Trening siłowy;Taniec/Zumba/Pole Dance","1","45","Nie","","","3","5","Regularnie","5"
"2022/01/12 7:58:50 PM CET","1989","173","90","9","od 00:04:01 do 00:04:30","od 00:27:01 do 00:29:00","od 00:55:01 do 01:00:00","od 01:40:01 do 01:50:00","od 03:40:01 do 03:55:00","4","36","5","od 00:04:01 do 00:04:30","10","od 00:05:01 do 00:05:30","5","od 00:04:31 do 00:05:00","6","od 00:04:01 do 00:04:30","5","29","od 00:05:01 do 00:05:30","Nie","","","","Nie","","","3","12","Zawsze","15"
"2022/01/12 7:58:55 PM CET","1978","148","67","0","od 00:06:31 do 00:07:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:15:01 do 01:20:00","od 02:20:01 do 02:30:00","od 04:40:01 do 04:55:00","4","34","3","od 00:05:31 do 00:06:00","5","od 00:05:31 do 00:06:00","4","od 00:06:01 i powyżej","2","od 00:06:01 i powyżej","1","18","od 00:06:31 do 00:07:00","Tak","Rower;Pływanie","1","75","Tak","Rolowanie;Rozciąganie/Joga;Sauna","10","4","7","Czasem","5"
"2022/01/12 7:59:00 PM CET","1988","142","99","10","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:35:01 do 00:37:00","od 01:05:01 do 01:10:00","od 02:40:01 i powyżej","od 04:55:01 do 05:10:00","2","42","1","od 00:06:01 i powyżej","2","od 00:05:31 do 00:06:00","7","od 00:05:31 do 00:06:00","4","od 00:06:01 i powyżej","2","16","od 00:06:31 do 00:07:00","Nie","","","","Tak","Masaż;Sauna","14","1","15","Czasem","10"
"2022/01/12 7:59:05 PM CET","1972","190","72","5","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:29:01 do 00:31:00","od 00:50:01 do 00:55:00","od 01:40:01 do 01:50:00","od 04:10:01 do 04:25:00","3","53","4","od 00:05:01 do 00:05:30","4","od 00:04:01 do 00:04:30","10","od 00:05:01 do 00:05:30","6","od 00:04:01 do 00:04:30","3","29","od 00:05:01 do 00:05:30","Tak","Rower;Trening siłowy","5","90","Nie","","","4","5","Regularnie","20"
"2022/01/12 7:59:10 PM CET","1978","167","67","11","od 00:03:31 do 00:04:00","od 00:13:00 do 00:15:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:10:01 do 01:20:00","od 02:55:01 do 03:10:00","5","77","5","od 00:02:31 do 00:03:00","6","od 00:02:00 do 00:02:30","10","od 00:02:31 do 00:03:00","10","od 00:02:31 do 00:03:00","6","35","od 00:04:01 do 00:04:30","Nie","","","","Tak","Sauna","2","3","5","Zawsze","15"
"2022/01/12 7:59:15 PM CET","1987","200","72","8","od 00:04:01 do 00:04:30","od 00:29:01 do 00:31:00","od 00:55:01 do 01:00:00","od 02:00:01 do 02:10:00","od 03:40:01 do 03:55:00","4","41","3","od 00:04:31 do 00:05:00","3","od 00:04:31 do 00:05:00","9","od 00:04:01 do 00:04:30","4","od 00:04:31 do 00:05:00","4","23","od 00:05:31 do 00:06:00","Tak","Crossfit/HIIT;Trening siłowy","7","90","Tak","Masaż;Rozciąganie/Joga;Sauna","4","4","14","Zawsze","20"
"2022/01/12 7:59:20 PM CET","1981","141","58","0","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:00:01 do 01:05:00","od 01:50:01 do 02:00:00","od 04:10:01 do 04:25:00","4","47","6","od 00:05:01 do 00:05:30","5","od 00:05:01 do 00:05:30","9","od 00:04:01 do 00:04:30","6","od 00:05:01 do 00:05:30","3","21","od 00:05:31 do 00:06:00","Nie","","","","Tak","Sauna;Masaż;Rolowanie","2","4","11","Czasem","10"
"2022/01/12 7:59:25 PM CET","1976","175","70","11","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:13:00 do 00:15:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:10:01 do 01:20:00","od 02:40:01 do 02:55:00","4","75","9","od 00:02:00 do 00:02:30","5","od 00:02:00 do 00:02:30","6","od 00:02:00 do 00:02:30","5","od 00:02:31 do 00:03:00","6","31","od 00:04:31 do 00:05:00","Tak","Pływanie;Pilates","1","60","Tak","Rozciąganie/Joga;Rolowanie","12","1","6","Zawsze","10"
"2022/01/12 7:59:30 PM CET","1968","152","98","10","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:27:01 do 00:29:00","od 01:00:01 do 01:05:00","od 01:40:01 do 01:50:00","Nigdy nie biegłam/nie biegłem takiego dystansu","5","55","5","od 00:04:31 do 00:05:00","4","od 00:04:31 do 00:05:00","5","od 00:04:01 do 00:04:30","7","od 00:04:01 do 00:04:30","2","27","od 00:05:01 do 00:05:30","Tak","Rower","7","30","Nie","","","2","11","Czasem","10"
"2022/01/12 7:59:35 PM CET","1986","188","76","5","od 00:02:30 do 00:03:00","od 00:17:01 do 00:19:00","od 00:40:01 do 00:45:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","7","55","9","od 00:02:00 do 00:02:30","10","od 00:03:01 do 00:03:30","10","od 00:02:00 do 00:02:30","6","od 00:02:31 do 00:03:00","7","40","od 00:04:01 do 00:04:30","Tak","Taniec/Zumba/Pole Dance;Rower","7","30","Tak","Rozciąganie/Joga;Rolowanie","2","3","11","Regularnie","20"
"2022/01/12 7:59:40 PM CET","2001","145","69","11","od 00:02:30 do 00:03:00","od 00:17:01 do 00:19:00","od 00:35:01 do 00:40:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 02:55:01 do 03:10:00","6","62","9","od 00:03:01 do 00:03:30","8","od 00:02:00 do 00:02:30","9","od 00:03:01 do 00:03:30","7","od 00:03:01 do 00:03:30","6","34","od 00:04:01 do 00:04:30","Nie","","","","Tak","Sauna","7","1","9","Zawsze","15"
"2022/01/12 7:59:45 PM CET","1993","144","89","19","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:27:01 do 00:29:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 02:10:01 do 02:20:00","od 04:10:01 do 04:25:00","2","56","5","od 00:04:31 do 00:05:00","10","od 00:04:31 do 00:05:00","7","od 00:04:31 do 00:05:00","4","od 00:04:01 do 00:04:30","5","22","od 00:05:31 do 00:06:00","Nie","","","","Tak","Masaż;Rolowanie","9","1","10","Czasem","10"
"2022/01/12 7:59:50 PM CET","1990","172","94","12","od 00:04:31 do 00:05:00","od 00:25:01 do 00:27:00","od 00:55:01 do 01:00:00","od 02:10:01 do 02:20:00","od 03:25:01 do 03:40:00","5","41","6","od 00:04:01 do 00:04:30","8","od 00:04:01 do 00:04:30","9","od 00:05:01 do 00:05:30","6","od 00:04:31 do 00:05:00","3","27","od 00:05:01 do 00:05:30","Tak","Pilates","8","90","Tak","Masaż;Sauna","14","1","9","Czasem","20"
"2022/01/12 7:59:55 PM CET","1997","153","99","5","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:23:01 do 00:25:00","od 00:55:01 do 01:00:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 04:10:01 do 04:25:00","5","49","6","od 00:04:01 do 00:04:30","9","od 00:04:01 do 00:04:30","6","od 00:05:01 do 00:05:30","4","od 00:05:01 do 00:05:30","5","20","od 00:05:31 do 00:06:00","Nie","","","","Tak","Sauna;Rozciąganie/Joga","8","3","5","Czasem","15"
"2022/01/12 8:00:01 PM CET","1988","196","92","6","od 00:05:31 do 00:06:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:20:01 i powyżej","od 02:40:01 i powyżej","od 04:25:01 do 04:40:00","2","50","4","od 00:06:01 i powyżej","1","od 00:05:31 do 00:06:00","2","od 00:06:01 i powyżej","0","Nie wykonuję takich treningów","2","17","od 00:06:31 do 00:07:00","Nie","","","","Nie","","","1","5","Nigdy","10"
"2022/01/12 8:00:06 PM CET","1978","148","98","8","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:31:01 do 00:33:00","od 01:20:01 i powyżej","Nigdy nie biegłam/nie biegłem takiego dystansu","od 04:25:01 do 04:40:00","4","46","2","od 00:06:01 i powyżej","3","od 00:05:31 do 00:06:00","5","od 00:05:31 do 00:06:00","0","Nie wykonuję takich treningów","1","19","od 00:06:31 do 00:07:00","Nie","","","","Tak","Rozciąganie/Joga;Rolowanie;Masaż","6","2","9","Regularnie","5"
"2022/01/12 8:00:11 PM CET","1991","160","65","3","od 00:04:31 do 00:05:00","od 00:29:01 do 00:31:00","od 00:55:01 do 01:00:00","od 01:50:01 do 02:00:00","od 04:10:01 do 04:25:00","5","32","5","od 00:05:01 do 00:05:30","8","od 00:05:01 do 00:05:30","9","od 00:05:01 do 00:05:30","5","od 00:04:01 do 00:04:30","3","21","od 00:05:01 do 00:05:30","Nie","","","","Tak","Sauna","10","1","14","Czasem","10"
"2022/01/12 8:00:16 PM CET","1983","197","60","7","od 00:02:30 do 00:03:00","od 00:19:01 do 00:21:00","od 00:45:01 do 00:50:00","od 01:30:01 do 01:40:00","od 03:10:01 do 03:25:00","4","96","7","od 00:02:31 do 00:03:00","5","od 00:02:31 do 00:03:00","6","od 00:02:00 do 00:02:30","10","od 00:02:00 do 00:02:30","7","20","od 00:04:01 do 00:04:30","Tak","Trening siłowy;Sztuki walki;Pływanie","3","90","Nie","","","5","13","Zawsze","20"
"2022/01/12 8:00:21 PM CET","1993","190","90","10","od 00:06:31 do 00:07:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:05:01 do 01:10:00","od 02:30:01 do 02:40:00","od 05:10:01 i powyżej","1","46","5","od 00:06:01 i powyżej","5","od 00:05:31 do 00:06:00","6","od 00:06:01 i powyżej","0","Nie wykonuję takich treningów","0","18","od 00:07:01 i powyżej","Tak","Taniec/Zumba/Pole Dance;Trening siłowy","4","90","Tak","Sauna;Masaż;Rolowanie","15","5","6","Nigdy","15"
"2022/01/12 8:00:26 PM CET","1987","173","76","5","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:17:01 do 00:19:00","od 00:40:01 do 00:45:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 02:25:01 do 02:40:00","6","40","7","od 00:02:00 do 00:02:30","9","od 00:02:31 do 00:03:00","10","od 00:02:00 do 00:02:30","10","od 00:03:01 do 00:03:30","6","29","od 00:04:01 do 00:04:30","Tak","Crossfit/HIIT","9","30","Nie","","","5","10","Zawsze","20"
"2022/01/12 8:00:31 PM CET","1986","185","70","12","od 00:02:30 do 00:03:00","od 00:15:01 do 00:17:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:30:01 do 01:40:00","Nigdy nie biegłam/nie biegłem takiego dystansu","4","43","6","od 00:02:31 do 00:03:00","5","od 00:02:00 do 00:02:30","11","od 00:03:01 do 00:03:30","10","od 00:02:31 do 00:03:00","7","38","od 00:03:31 do 00:04:00","Nie","","","","Tak","Masaż;Rolowanie;Rozciąganie/Joga","13","4","7","Regularnie","15"
"2022/01/12 8:00:36 PM CET","1980","144","92","10","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:35:01 do 00:37:00","od 01:15:01 do 01:20:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 04:55:01 do 05:10:00","2","37","4","od 00:06:01 i powyżej","1","od 00:05:31 do 00:06:00","3","od 00:06:01 i powyżej","0","Nie wykonuję takich treningów","3","18","od 00:06:31 do 00:07:00","Nie","","","","Nie","","","3","14","Regularnie","20"
"2022/01/12 8:00:41 PM CET","1991","178","96","10","od 00:05:31 do 00:06:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:05:01 do 01:10:00","od 02:40:01 i powyżej","od 04:25:01 do 04:40:00","3","33","0","Nie wykonuję takich treningów","1","od 00:05:31 do 00:06:00","5","od 00:06:01 i powyżej","3","od 00:06:01 i powyżej","0","15","od 00:06:31 do 00:07:00","Tak","Trening siłowy;Pływanie","5","75","Nie","","","4","15","Czasem","20"
"2022/01/12 8:00:46 PM CET","1988","180","76","8","od 00:03:31 do 00:04:00","od 00:19:01 do 00:21:00","Nigdy nie biegłam/nie biegłem takiego dystansu","Nigdy nie biegłam/nie biegłem takiego dystansu","od 02:10:00 do 02:25:00","3","65","9","od 00:02:31 do 00:03:00","8","od 00:02:00 do 00:02:30","7","od 00:02:00 do 00:02:30","5","od 00:02:31 do 00:03:00","7","38","od 00:04:31 do 00:05:00","Tak","Trening siłowy;Pilates","8","75","Tak","Rolowanie;Sauna","12","3","5","Zawsze","20"
"2022/01/12 8:00:51 PM CET","1980","164","72","20","od 00:03:01 do 00:03:30","od 00:15:01 do 00:17:00","od 00:45:01 do 00:50:00","od 01:20:01 do 01:30:00","od 02:25:01 do 02:40:00","7","93","5","od 00:03:01 do 00:03:30","11","od 00:02:31 do 00:03:00","6","od 00:03:01 do 00:03:30","9","od 00:02:31 do 00:03:00","7","27","od 00:04:01 do 00:04:30","Tak","Crossfit/HIIT;Sztuki walki;Trening siłowy","5","90","Nie","","","4","8","Zawsze","5"
"2022/01/12 8:00:56 PM CET","1970","176","62","13","od 00:03:31 do 00:04:00","od 00:15:01 do 00:17:00","od 00:35:01 do 00:40:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 03:10:01 do 03:25:00","3","88","10","od 00:03:01 do 00:03:30","5","od 00:02:31 do 00:03:00","12","od 00:02:31 do 00:03:00","9","od 00:03:01 do 00:03:30","4","27","od 00:04:01 do 00:04:30","Nie","","","","Nie","","","1","15","Zawsze","5"
"2022/01/12 8:01:01 PM CET","1975","185","73","10","od 00:05:01 do 00:05:30","od 00:23:01 do 00:25:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 01:40:01 do 01:50:00","od 03:55:01 do 04:10:00","4","53","7","od 00:04:01 do 00:04:30","8","od 00:04:01 do 00:04:30","10","od 00:04:01 do 00:04:30","7","od 00:05:01 do 00:05:30","5","18","od 00:05:31 do 00:06:00","Nie","","","","Nie","","","3","10","Czasem","5"
"2022/01/12 8:01:06 PM CET","1987","166","74","7","od 00:06:31 do 00:07:00","od 00:35:01 do 00:37:00","od 01:20:01 i powyżej","od 02:40:01 i powyżej","od 05:10:01 i powyżej","4","10","2","od 00:06:01 i powyżej","5","od 00:05:31 do 00:06:00","7","od 00:06:01 i powyżej","3","od 00:06:01 i powyżej","1","25","od 00:06:31 do 00:07:00","Nie","","","","Tak","Masaż;Sauna","14","5","5","Regularnie","10"
"2022/01/12 8:01:11 PM CET","1997","180","74","8","od 00:03:01 do 00:03:30","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:30:00 do 00:35:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 02:10:00 do 02:25:00","3","89","7","od 00:02:31 do 00:03:00","12","od 00:02:00 do 00:02:30","11","od 00:03:01 do 00:03:30","7","od 00:02:00 do 00:02:30","5","24","od 00:04:01 do 00:04:30","Tak","Trening siłowy","3","90","Nie","","","3","9","Zawsze","20"
"2022/01/12 8:01:16 PM CET","1993","170","71","5","Nigdy nie biegłam/nie biegłem takiego dystansu","od 00:27:01 do 00:29:00","od 00:50:01 do 00:55:00","Nigdy nie biegłam/nie biegłem takiego dystansu","od 03:40:01 do 03:55:00","3","58","6","od 00:04:01 do 00:04:30","5","od 00:04:31 do 00:05:00","9","od 00:04:01 do 00:04:30","6","od 00:04:31 do 00:05:00","4","17","od 00:05:01 do 00:05:30","Tak","Pilates","4","75","Nie","","","1","13","Czasem","10"
"2022/01/12 8:01:22 PM CET","1983","200","102","3","od 00:05:31 do 00:06:00","od 00:35:01 do 00:37:00","od 01:10:01 do 01:15:00","od 02:40:01 i powyżej","od 05:10:01 i powyżej","4","46","3","od 00:06:01 i powyżej","7","od 00:06:01 i powyżej","6","od 00:05:31 do 00:06:00","2","od 00:05:31 do 00:06:00","1","17","od 00:06:31 do 00:07:00","Tak","Sztuki walki;Pilates","7","45","Nie","","","3","10","Regularnie","15"
"2022/01/12 8:01:27 PM CET","1970","145","70","10","od 00:06:31 do 00:07:00","od 00:31:01 do 00:33:00","od 01:05:01 do 01:10:00","od 02:20:01 do 02:30:00","Nigdy nie biegłam/nie biegłem takiego dystansu","4","17","2","od 00:05:31 do 00:06:00","3","od 00:05:31 do 00:06:00","7","od 00:06:01 i powyżej","2","od 00:05:31 do 00:06:00","2","14","od 00:07:01 i powyżej","Nie","","","","Nie","","","3","14","Czasem","15"
